ئافرىقا	Afrika
ياپونىيە	Japan
جەنۇبىي ئامېرىكا	Sør-Amerika
نورۋېگىيە	Norge
Shotlandiye	Skottland
Wélsh	Wales
ۋېنگرىيە	Ungarn
ئىسپانىيە	Spania
ئامېرىكا قوشما شىتاتلىرى	USA
بېلگىيە	Belgia
ليۇكسېمبۇرگ	Luxembourg
يەر شارى	Jorden
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finland
شۋېتسىيە	Sverige
دانىيە	Danmark
لەھىستان	Polen
لىتۋا	Litauen
ئىتالىيە	Italia
شۋېتسارىيە	Sveits
ئاۋستىرىيە	Østerrike
گرېتسىيە	Hellas
تۈركىيە جۇمھۇرىيىتى	Tyrkia
پورتۇگالىيە	Portugal
ياۋروپا	Europa
ئاسىيا	Asia
شىمالىي ئامېرىكا	Nord-Amerika
ۋىكىپېدىيە	Wikipedia
گوللاندىيە	Nederland
Nyu York Shehiri	New York
ۋاشىنگتون	Washington, D.C.
San Fransisko	San Francisco
Bérlin	Berlin
Los Anjélés	Los Angeles
كومپيۇتېر	Datamaskin
بېرن	Bern
Jenwe	Genève
سيۇرىخ	Zürich
خەلقارالىق تور	Internett
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguay
London	London
كايرو	Kairo
ئالما	Epleslekten
پارىژ	Paris
مېكسىكا	Mexico
Kaliforniye Shitati	California
Boston	Boston
مارس	Mars (planet)
كېنىيە	Kenya
ئېفىئوپىيە	Etiopia
گانا جۇمھۇرىيىتى	Ghana
شىر	Løve
فرانسىيە	Frankrike
ئېسپېرانتو	Esperanto
ئىت	Tamhund
بۈيۈك بېرىتانىيە	Storbritannia
مۈشۈك	Tamkatt
جۇڭخۇا خەلق جۇمھۇرىيىتى	Folkerepublikken Kina
فرانسۇز تىلى	Fransk
برازىلىيە	Brasil
روسىيە	Russland
قارا دېڭىز	Svartehavet
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo
Kwébék	Québec
ۋىكىپېدىيە ۋەخپى	Wikimedia Foundation
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Tyskland
بېلورۇسسىيە	Hviterussland
نېمىس تىلى	Tysk
ئىسلاندىيە	Island
ئېستونىيە	Estland
ساتۇرن	Saturn
ئايروپىلان	Fly
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Latvia
ئۇكرائىنا	Ukraina
چېخ جۇمھۇرىيەتى	Tsjekkia
سلوۋاكىيە	Slovakia
سلوۋېنىيە	Slovenia
مولدوۋا	Moldova
رۇمىنىيە	Romania
بۇلغارىيە	Bulgaria
Rim	Roma
ماكېدونىيە	Republikken Makedonia
ئالبانىيە	Albania
گرېنلاندىيە	Grønland
كرودىيە	Kroatia
بوسنىيە ۋە ھېرسېگوۋىنا	Bosnia-Hercegovina
ئەزەربەيجان	Aserbajdsjan
ئاندوررا	Andorra
سىپرۇس	Republikken Kypros
گرۇزىيە	Georgia
قازاقىستان	Kasakhstan
مالتا	Malta
موناكو	Monaco
چېرنوگورىيە	Montenegro
ۋاتىكان شەھىرى	Vatikanstaten
سان مارىنو	San Marino
Bryussél	Brussel
كۇبا	Cuba
بېلىز	Belize
باربادوس	Barbados
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Tyrkisk
جەنۇبىي ئافرىقا	Sør-Afrika
ئالجىرىيە	Algerie
ئۆزبېكىستان	Usbekistan
Poznan	Poznań
Tashkent	Tasjkent
Warshawa	Warszawa
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Eurovision Song Contest
تېلېۋىزور	Fjernsyn
ئىسلاندىيە تىلى	Islandsk
چىلى	Chile
ئەيسا مەسىھ	Jesus Kristus
گالىلېي	Galileo Galilei
مېركۇرىي	Merkur
تارىخ	Historie
ئالما شىركىتى	Apple
ۋېنېرا	Venus
مۇھاببەت	Kjærlighet
يۇپىتېر	Jupiter
سامان يولى سىستىمېسى	Melkeveien
ئۇران (پلانىت)	Uranus
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Neptun (planet)
ئاسترونومىيە	Astronomi
سىنگاپور	Singapore
پلۇتون	Pluto
Montréal	Montréal
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	Første verdenskrig
Kolon	Köln
سكوپليې	Skopje
Shchétsin	Szczecin
لاتىن تىلى	Latin
بەھرېيىن	Bahrain
ئەرمېنىيە	Armenia
سېربىيە	Serbia
Istanbul	Istanbul
ئاۋستىرالىيە	Australia
فىزىكا	Fysikk
ئارگېنتىنا	Argentina
پېرۇ	Peru
بىئولوگىيە	Biologi
شىمالىي چاۋشيەن	Nord-Korea
كامبوجا	Kambodsja
قۇرئان كەرىم	Koranen
دىنوزاۋر	Dinosaurer
ئىسلام دىنى	Islam
ليۇبليانا	Ljubljana
Lion	Lyon
ياۋروپا ئىتتىپاقى	Den europeiske union
سوفىيە	Sofia
شېئىر	Poesi
Milan	Milano
Turin	Torino
سوڭ	Anus
ئېۋېرېست	Mount Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoléon Bonaparte
ۋېزۇۋىي	Vesuv
قۇياش	Solen
قۇياش سىستېمىسى	Solsystemet
ھىدروگېن	Hydrogen
گېلىي	Helium
لىتىي	Litium
بېرىللىي	Beryllium
شەرقىي تىمور	Øst-Timor
ئوسلو	Oslo
Bonn	Bonn
سېرېرا	Ceres (dvergplanet)
لىسبون	Lisboa
ئېرىدا	Eris (dvergplanet)
دۇبائى	Dubai
بور	Bor (grunnstoff)
Wérsayl	Versailles
كاربون	Karbon
ۋولگا دەرياسى	Volga
ئازوت	Nitrogen
ئوكسىگېن	Oksygen
مۇزىكا	Musikk
Wénitsiye	Venezia
Rénn Shehiri	Rennes
Lil	Lille
Moskwa	Moskva
فىتور	Fluor
ئىتاليان تىلى	Italiensk
نىئون گازى	Neon
Sankt-Pétérburg	St. Petersburg
چاد	Tsjad
ناترىي	Natrium
ماگنىي	Magnesium
ئاليۇمىن	Aluminium
يېڭى زېلاندىيە	New Zealand
ھىندىستان	India
سىلىتسىي	Silisium
فرانسىي	Francium
Tuwalu	Tuvalu
فوسفور	Fosfor
تۆمۈر	Jern
Ton’ga	Tonga
گۈڭگۈرت	Svovel
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Salomonøyene
ۋانۇئاتۇ	Vanuatu
خلور گازى	Klor
پاپۇئا يېڭى گۋىنېيە	Papua Ny-Guinea
پالاۋ	Palau
ئارگون	Argon
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Mikronesiaføderasjonen
كالىي	Kalium
كالتىسىي	Kalsium
قوغۇشۇن	Bly
مارشال تاقىم ئاراللىرى	Marshalløyene
كىرىباتى	Kiribati
موڭغۇلىيە	Mongolia
فىجى	Fiji
سكاندىي	Scandium
تىتان	Titan (grunnstoff)
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Djengis Khan
ۋانادىي	Vanadium
Méané Shitati	Maine
خروم	Krom
ئات	Hest
ئامستېردام	Amsterdam
ھايۋانات	Dyr
سۇرىنام	Surinam
مانگان	Mangan
پاراگۋاي	Paraguay
گايانا	Guyana
ئېكۋادور	Ecuador
رېنىي	Rhenium
كولومبىيە	Colombia
كوبالت	Kobolt
ۋولفرام	Wolfram
نىكېل	Nikkel
بۇددا دىنى	Buddhisme
بولىۋىيە	Bolivia
مىس	Kobber
ترىنىداد ۋە توباگو	Trinidad og Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	Saint Vincent og Grenadinene
سىنك	Sink
Yéngi Xampishir Shitati	New Hampshire
سېنت ليۇسىيە	Saint Lucia
داۋېىنچى	Leonardo da Vinci
سېنت كىتس ۋە نېۋىس	Saint Kitts og Nevis
زەمبۇرۇغ	Sopper
يامايكا	Jamaica
گرېنادا	Grenada
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	Bahamas
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antigua og Barbuda
Haway Shitati	Hawaii
ھوندۇراس	Honduras
دومىنىكا	Dominica
دومىنىكان جۇمھۇرىيەتى	Den dominikanske republikk
ھايتى	Haiti
ئەل سالۋادور	El Salvador
ئىران	Iran
ئىراق	Irak
Alyaska Shitati	Alaska
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israel
پاناما	Panama
يەمەن	Jemen
پولەك تىلى	Polsk
ئىئوردانىيە	Jordan
نىكاراگۇئا	Nicaragua
Florida Shitati	Florida
قىرغىزىستان	Kirgisistan
Arizona Shitati	Arizona
كۇۋەيت	Kuwait
لائوس	Laos
لىۋان	Libanon
Orégon Shitati	Oregon
مالدىۋ ئاراللىرى	Maldivene
ئامېرىكا قىتئەسى	Amerika
Yuta Shitati	Utah
مالايسىيا	Malaysia
بىرما	Myanmar
نېپال	Nepal
ئومان	Oman
پاكىستان	Pakistan
قاتار	Qatar
سەئۇدى ئەرەبىستان	Saudi-Arabia
سرىلانكا	Sri Lanka
ستالىن	Josef Stalin
سۇرىيە	Syria
بىراتۇ	Platon
گاللىي	Gallium
تاجىكىستان	Tadsjikistan
تەيۋەن	Republikken Kina
گېرمانىي	Germanium
تايلاند	Thailand
ئارسېن	Arsen
تۈركمەنىستان	Turkmenistan
سېلېن	Selen
ئەرەب بىرلەشمە خەلىپىلىكى	De forente arabiske emirater
بروم	Brom
Platina	Platina
ۋيېتنام	Vietnam
Nowosibirski	Novosibirsk
جەنۇبىي چاۋشيەن	Sør-Korea
كرىپتون	Krypton
ئافغانىستان	Afghanistan
رۇبىدىي	Rubidium
ئالتۇن	Gull
قازان	Kazan
بانگلادېش	Bangladesh
مالى	Mali
ئانگولا	Angola
بۇتان	Bhutan
برۇنېي	Brunei
تانزانىيە	Tanzania
فىلىپپىن	Filippinene
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	Den sentralafrikanske republikk
جەنۇبى قۇتۇپ	Sydpolen
شىمالى قۇتۇپ	Nordpolen
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Strontium
ئىتترىي	Yttrium
ۋىسمۇت	Vismut
سېرىق رەڭ	Gul
توگو	Togo
تۇنىس	Tunisia
زامبىيە	Zambia
زىمبابۋې	Zimbabwe
بېيجىڭ شەھىرى	Beijing
تۇۋا	Tuva (republikk)
بېنىن	Benin
بوتسۋانا	Botswana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Komorene
كونگو جۇمھۇرىيىتى	Republikken Kongo
كونگو دېموكراتىك جۇمھۇرىيىتى	Den demokratiske republikken Kongo
San Antonio	San Antonio
جىبۇتى	Djibouti
پولونىي	Polonium
ئېكۋاتور گۋىنېيىسى	Ekvatorial-Guinea
ئېرىترېيە	Eritrea
Yéngi Déhli	New Delhi
تبىلىسى	Tbilisi
ئاستاتىن	Astat
گابون	Gabon
گامبىيە	Gambia
ۋىنېيە	Guinea
گۋىنېيە بىسسائۇ	Guinea-Bissau
پىل چىشى قىرغىغى	Elfenbenskysten
كامېرۇن	Kamerun
يېشىل تۇمشۇق ئاراللىرى	Kapp Verde
لېسوتو	Lesotho
لىبېرىيە	Liberia
لىۋىيە	Libya
ماداگاسكار	Madagaskar
مالاۋى	Malawi
Shtutgart	Stuttgart
ماۋرىتانىيە	Mauritania
ماۋرىتىئۇس	Mauritius
ماراكەش	Marokko
موزامبىك	Mosambik
نامىبىيە	Namibia
نىگېر	Niger
نىگېرىيە	Nigeria
دارۋىن	Charles Darwin
ئۇگاندا	Uganda
رۋاندا	Rwanda
سىركونىي	Zirkonium
San Tomé we Prinsipé	São Tomé og Príncipe
سېنېگال	Senegal
سېيشېل ئاراللىرى	Seychellene
سيېررا لېئونې	Sierra Leone
سومالى	Somalia
نىئوبىي	Niob
جولیس سیزر	Julius Cæsar
سۇدان	Sudan
سۋازىلېند	Swaziland
مولبېدىن	Molybden
تېخېتىسىي	Technetium
Hamburg	Hamburg
گۇجارات	Gujarat
بىرلەشكەن دۆلەتلەر تەشكىلاتى	De forente nasjoner
گېئولوگىيە	Geologi
Exmetabad	Ahmedabad
يۈرەك	Hjerte
تېرە	Hud
پراگا	Praha
كۆك رەڭ	Blå
كۈمۈش	Sølv
قەلەي	Tinn (grunnstoff)
ئۇران	Uran
سۈرمە	Antimon
پلوتونىي	Plutonium
نېپتونىي	Neptunium
كسېنون	Xenon
سېزىي	Cesium
پروتاكتىنىي	Protactinium
بارىي	Barium
تورىي	Thorium
گافنىي	Hafnium
ئاكتىنىي	Actinium
تانتال	Tantal
بىل كلىنتون	Bill Clinton
رادىي	Radium
رادون	Radon
Bombay	Mumbai
Michigan Shitati	Michigan
پوئېرتو رىكو	Puerto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	Nord-Dakota
لومبارد	Lombardia
Jenubiy Dakota Shitati	Sør-Dakota
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jerusalem
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington
رۇزېرفوردىي	Rutherfordium
Néwada shitati	Nevada
دۇبنىي	Dubnium
سىبورگىي	Seaborgium
بوھرىي	Bohrium
ھاسسىي	Hassium
مېيتنېرىي	Meitnerium
Kolorado Shitati	Colorado
دارمستادتىي	Darmstadtium
رۆنتگېنىي	Røntgenium
كوپېرنىي	Copernicium
تۈر:تۈرلەر يولباشچىسى	Kategori:Kategorier
ئاپېنىن تاغ تىزمىسى	Appenninene
ئالپ تاغلىرى	Alpene
پاسكال	Blaise Pascal
Gant	Gent
Chikago	Chicago
ئۇنۇنترىي	Ununtrium
فلېروۋىي	Flerovium
ئۇنۇنپېنتىي	Ununpentium
لىۋىرمورىي	Livermorium
ئۇنۇنسېپتىي	Ununseptium
ئۇنۇنئوكتىي	Ununoctium
Arném	Arnhem
ئىسپان تىلى	Spansk
مونتېۋىدېئو	Montevideo
Filadélfiye	Philadelphia
Kalkutta	Kolkata
Déhli	Delhi
داكا	Dhaka
Ban'galor	Bangalore
Ömüchük	Edderkopper
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Frukt
مايمۇن	Apekatter
Wirginiye Shitati	Virginia
غەربىي ۋىرگىنىيە شىتاتى	Vest-Virginia
